name,main_category,overarching_category,rating,reviews,normalized_value,city,latitude,longitude,address
Museum of Jewish Heritage - A Living Memorial to the Holocaust,History museum,Museum,4.6,1668,7672.8,New-york-city,40.7056,-74.0189,"Museum of Jewish Heritage - A Living Memorial to the Holocaust, 36 Battery Pl, New York, NY 10280"
Fotografiska Museum NYC,Art museum,Museum,4.5,1659,7465.5,New-york-city,40.739278,-73.986722,"Fotografiska Museum NYC, 281 Park Ave S, New York, NY 10010"
Williamsburg Bridge,Bridge,Landmark,4.6,1578,7258.8,New-york-city,40.71371,-73.97264,"Williamsburg Bridge, FDR Drive, Two Bridges, Manhattan Community Board 3, Manhattan, New York County, City of New York, New York, 10002, United States"
Pier 26 at Hudson River Park,Park,Park/Scenic Spots,4.7,1405,6603.5,New-york-city,40.7294,-74.0119,"Pier 26 at Hudson River Park, Hudson River Greenway, New York, NY 10013"
SeaGlass Carousel,Amusement park ride,Entertainment/Amusement Park,4.5,1292,5814.0,New-york-city,40.703564,-74.016678,"Castle Clinton, 10, Battery Place, Whitehall, Manhattan, New York County, City of New York, New York, 10004, United States"
Liberty Cruise,Tourist attraction,Landmark,3.8,1016,3860.8,New-york-city,40.664873,-74.072574,"Port Liberty Cruise Terminal, Port Terminal Boulevard, Bayonne, Hudson County, New Jersey, 07305, United States"
Pier 46 at Hudson River Park,Park,Park/Scenic Spots,4.7,910,4277.0,New-york-city,40.7294,-74.0119,"Pier 46 at Hudson River Park, Hudson River Greenway, New York, NY 10014"
Museum at Eldridge Street,History museum,Museum,4.7,892,4192.4,New-york-city,40.7146,-73.9936,"Museum at Eldridge Street, 12 Eldridge St, New York, NY 10002"
South Cove Park,Park,Park/Scenic Spots,4.7,854,4013.8,New-york-city,40.70732,-74.01847,"South Cove Park, 50 Battery Pl, New York, NY 10280"
Pier 78 at Hudson River Park,Tourist attraction,Landmark,4.3,686,2949.8,New-york-city,40.7294,-74.0119,"Pier 78 at Hudson River Park, 455 12th Ave, New York, NY 10018"
The Ramble,Park,Park/Scenic Spots,4.7,664,3120.8,New-york-city,40.77737,-73.96951,"The Ramble, 79th St Transverse, New York, NY 10024"
Lighthouse Park,Park,Park/Scenic Spots,4.6,658,3026.8,New-york-city,40.7725,-73.94056,"Lighthouse Park, 910 Main St, New York, NY 10044"
New-York Historical Society,Museum,Museum,4.5,594,2673.0,New-york-city,40.779128,-73.974059,"New-York Historical Society, 170 Central Park W, New York, NY 10024"
The Skyscraper Museum,Museum,Museum,4.0,538,2152.0,New-york-city,40.7057,-74.0177,"Skyscraper Museum, 39, Battery Place, Whitehall, Manhattan, New York County, City of New York, New York, 10280, United States"
The Obelisk,Tourist attraction,Landmark,4.7,515,2420.5,New-york-city,40.7796,-73.9654,"The Obelisk, E 81st St, New York, NY 10024"
Little Italy Sign,Tourist attraction,Landmark,4.4,515,2266.0,New-york-city,40.7182,-73.9979,"Little Italy Sign, 177 Hester St, New York, NY 10013"
The Channel Gardens,Tourist attraction,Landmark,4.6,511,2350.6,New-york-city,40.7585,-73.9781,"The Channel Gardens, New York, NY 10020"
The Mall and Literary Walk,Scenic spot,Park/Scenic Spots,4.8,497,2385.6,New-york-city,40.785091,-73.968285,"The Mall and Literary Walk, The Mall, New York, NY 10022"
Shakespeare Garden,Garden,Park/Scenic Spots,4.7,464,2180.8,New-york-city,37.76826,-122.46692,"Shakespeare Garden, 79th St Transverse, New York, NY 10024"
Washington Square Fountain,Tourist attraction,Landmark,4.7,463,2176.1,New-york-city,40.730824,-73.99733,"Washington Square Fountain, Washington Square N, New York, NY 10012"
South Street Seaport Museum,Maritime museum,Museum,4.7,426,2002.2,New-york-city,40.706322,-74.00264,"Fulton Street, Financial District, Manhattan, New York County, City of New York, New York, 10038, United States"
FDNY Memorial Wall,Tourist attraction,Landmark,4.8,409,1963.2,New-york-city,40.760771,-73.996522,"FDNY Memorial Wall, 141 Greenwich St, New York, NY 10006"
Teardrop Park,Park,Park/Scenic Spots,4.7,381,1790.7,New-york-city,40.71667,-74.01556,"Teardrop Park, Warren St, New York, NY 10005"
Hernshead,Scenic spot,Park/Scenic Spots,4.8,204,979.2,New-york-city,40.777469,-73.972818,"West Drive, Upper West Side, Manhattan, New York County, City of New York, New York, 10023, United States"
The City Reliquary Museum,Museum,Museum,4.3,163,700.9,New-york-city,40.713875,-73.9557643,"The City Reliquary Museum, 370 Metropolitan Ave, Brooklyn, NY 11211"
Temple of Dendur,Museum,Museum,4.7,127,596.9,New-york-city,40.779434,-73.963402,"Temple of Dendur, 1000 5th Ave, New York, NY 10028"
The Museum of Interesting Things (advance appt only),History museum,Museum,4.6,47,216.2,New-york-city,40.7306,-73.9931,"East 8th Street & Mercer Street, East 8th Street, University Village, Manhattan, New York County, City of New York, New York, 10003, United States"
Questing NY,Tourist attraction,Landmark,5.0,19,95.0,New-york-city,40.7096,-74.0093,"La Parisienne, 9, Maiden Lane, Financial District, Manhattan, New York County, City of New York, New York, 10038, United States"
Flatiron Building,Tourist attraction,Landmark,4.5,13334,60003.0,New-york-city,40.74101,-73.98965,"Flatiron Building, 175 5th Ave, New York, NY 10010"
The Woolworth Building,Historical landmark,Landmark,4.5,2363,10633.5,New-york-city,40.7124,-74.0084,"The Woolworth Building, 233 Broadway, New York, NY 10007"
Pier 35,Park,Park/Scenic Spots,4.6,2293,10547.8,New-york-city,40.70899,-73.98847,"Pier 35, FDR Dr, New York, NY 10002"
Silverstein Family Park,Park,Park/Scenic Spots,4.5,394,1773.0,New-york-city,40.7132,-74.0115,"Silverstein Family Park, Greenwich St, New York, NY 10007"
Staple Street Skybridge,Tourist attraction,Landmark,4.4,234,1029.6,New-york-city,40.718114,-74.009562,"Staple Street Skybridge, 9 Jay St, New York, NY 10013"
Joey Ramone Place,Tourist attraction,Landmark,4.6,110,506.0,New-york-city,40.7206,-73.993896,"Joey Ramone Place, 325 Bowery, New York, NY 10003"
Berlin Wall,Tourist attraction,Landmark,4.1,93,381.3,New-york-city,40.711713,-74.016719,"Berlin Wall, 393 S End Ave, New York, NY 10280"
Town Square,Tourist attraction,Landmark,4.8,67,321.6,New-york-city,40.758896,-73.98513,"Town Square, New York, NY 10036"
NY City Skyline Vista Point,Observation deck,Landmark,4.7,66,310.2,New-york-city,40.73061,-73.935242,"38-20, Review Avenue, Blissville, Queens, Queens County, City of New York, New York, 11101, United States"
Portal Down to Old New York,Historical landmark,Landmark,4.2,28,117.6,New-york-city,40.712772,-74.006058,"New York City Hall, 260, Broadway, Lower Manhattan, Manhattan, New York County, City of New York, New York, 10000, United States"
New York Carl,Tourist attraction,Landmark,5.0,21,105.0,New-york-city,40.73061,-73.935242,"38-20, Review Avenue, Blissville, Queens, Queens County, City of New York, New York, 11101, United States"
National Parks of New York,Historical landmark,Landmark,4.8,14,67.2,New-york-city,40.785091,-73.968285,"86th Street Transverse, Upper West Side, Manhattan, New York County, City of New York, New York, 10024, United States"
Door to Nowhere,Tourist attraction,Landmark,4.6,9,41.4,New-york-city,40.7556,-73.9864,"Garment District, Manhattan Community Board 5, Manhattan, New York County, City of New York, New York, 10018, United States"
